generation,survivalRate
0,46.3
1,51.2
2,50.4
3,49.5
4,50.5
5,49.9
6,53.899998
7,48.2
8,52.399998
9,52.899998
10,55.699997
11,51.8
12,54.100002
13,56.0
14,55.5
15,61.1
16,63.800003
17,68.1
18,75.3
19,75.6
20,79.299995
21,88.0
22,91.0
23,92.299995
24,93.4
25,95.700005
26,95.700005
27,96.4
28,97.399994
29,97.399994
30,98.5
31,97.5
32,96.200005
33,97.5
34,98.299995
35,97.6
36,99.5
37,99.299995
38,98.5
39,99.1
40,98.4
41,98.7
42,99.5
43,99.6
44,98.6
45,98.4
46,98.9
47,99.9
48,98.5
49,98.7
50,99.1
51,99.299995
52,99.2
53,99.1
54,98.9
55,98.9
56,97.799995
57,99.4
58,99.0
59,98.6
60,99.0
61,98.9
62,99.6
63,99.1
64,100.0
65,99.8
66,99.299995
67,99.4
68,99.299995
69,99.0
70,99.8
71,99.7
72,99.6
73,98.799995
74,99.6
75,99.9
76,99.2
77,99.1
78,98.799995
79,99.5
80,99.7
81,99.2
82,99.9
83,99.7
84,98.4
85,98.9
86,99.2
87,99.7
88,99.8
89,99.2
90,99.6
91,99.5
92,99.6
93,99.8
94,98.799995
95,99.6
96,99.7
97,100.0
98,99.299995
99,99.9
100,100.0
101,99.4
102,99.8
103,97.6
104,99.1
105,99.4
106,99.299995
107,98.4
108,99.5
109,99.6
110,99.4
111,99.9
112,99.6
113,99.9
114,99.6
115,99.0
116,99.299995
117,99.7
118,99.9
119,100.0
120,99.5
121,99.8
122,99.9
123,99.2
124,99.6
125,99.9
126,99.6
127,99.6
128,99.6
129,99.0
130,100.0
131,99.8
132,99.7
133,99.8
134,99.0
135,100.0
136,99.9
137,99.299995
138,99.7
139,100.0
140,99.9
141,100.0
142,99.4
143,100.0
144,99.8
145,99.9
146,100.0
147,100.0
148,99.2
149,99.5
150,100.0
151,100.0
152,100.0
153,99.9
154,99.9
155,99.4
156,99.5
157,99.9
158,99.8
159,99.8
160,99.8
161,99.6
162,100.0
163,99.5
164,99.9
165,100.0
166,99.7
167,99.1
168,100.0
169,99.6
170,100.0
171,99.9
172,99.9
173,99.6
174,99.8
175,100.0
176,99.7
177,100.0
178,100.0
179,98.7
180,99.299995
181,99.7
182,100.0
