generation,survivalRate
516,78.7
517,80.4
518,83.5
519,81.2
520,82.9
521,79.4
522,83.3
523,81.1
524,83.4
525,79.9
526,79.5
527,78.1
528,83.4
529,82.200005
530,80.9
531,80.2
532,83.3
533,80.2
534,82.6
535,81.6
536,80.4
537,82.9
538,79.799995
539,80.9
540,75.5
541,81.3
542,80.4
543,77.600006
544,77.100006
545,80.0
546,81.8
547,84.6
548,80.299995
549,79.1
550,79.2
551,80.4
552,76.0
553,79.299995
554,81.5
555,78.899994
556,78.799995
557,79.799995
558,81.4
559,80.4
560,83.200005
561,82.6
562,81.7
563,78.6
564,80.1
565,75.2
566,81.9
567,77.3
568,83.0
569,79.799995
570,82.4
571,79.0
572,79.299995
573,82.700005
574,80.4
575,79.9
576,81.0
577,78.899994
578,83.8
579,79.6
580,76.3
581,81.4
582,77.100006
583,78.5
584,78.899994
585,81.7
586,79.9
587,78.899994
588,81.6
589,80.2
590,78.1
591,79.4
592,80.9
593,81.4
594,81.3
595,80.1
596,73.299995
597,78.2
598,82.1
599,76.6
600,81.2
601,78.899994
602,82.1
603,77.3
604,80.7
605,73.5
606,83.8
607,80.0
608,78.799995
609,78.2
610,84.4
611,82.5
612,86.2
613,83.9
614,77.700005
615,80.7
616,79.1
617,78.3
618,84.0
619,80.9
620,79.799995
621,81.4
622,81.3
623,79.6
624,78.4
625,78.0
626,80.9
627,84.6
628,81.2
629,82.200005
630,82.200005
631,81.2
632,83.5
633,79.0
634,82.5
635,83.8
636,81.4
637,82.1
638,84.2
639,82.4
640,82.3
641,78.3
642,82.4
643,80.8
644,75.6
645,81.7
646,79.299995
647,81.1
648,82.3
649,79.9
650,85.299995
651,80.6
652,80.299995
653,79.6
654,77.4
655,76.6
656,84.6
657,82.6
658,80.9
659,83.9
660,83.8
661,85.2
662,81.6
663,87.6
664,84.899994
665,84.7
666,85.0
667,84.6
668,83.600006
669,85.0
670,82.200005
671,81.1
672,88.1
673,83.3
674,79.4
675,82.8
676,83.0
677,86.1
678,82.0
679,82.9
680,85.399994
681,82.0
682,86.9
683,87.0
684,79.4
685,82.5
686,87.7
687,88.0
688,87.3
689,91.0
690,82.200005
691,87.4
692,83.700005
693,85.299995
694,81.3
695,87.5
696,84.2
697,84.4
698,86.6
699,82.0
700,83.3
701,86.799995
702,81.3
703,86.1
704,88.8
705,82.8
706,89.0
707,88.4
708,87.6
709,87.9
710,88.5
711,84.5
712,89.200005
713,86.5
714,87.0
715,87.3
716,89.8
717,86.4
718,86.2
719,88.1
720,88.1
721,87.6
722,86.9
723,88.700005
724,87.5
725,89.9
726,89.3
727,89.8
728,87.8
729,88.1
730,85.9
731,88.5
732,88.700005
733,85.5
734,87.4
735,87.9
736,87.2
737,87.5
738,90.7
739,84.799995
740,89.700005
741,91.0
742,89.700005
743,89.700005
744,86.799995
745,88.5
746,88.6
747,85.399994
748,79.0
749,88.1
750,87.5
751,86.299995
752,88.200005
753,85.6
754,77.0
755,86.299995
756,88.0
757,90.7
758,89.1
759,85.0
760,85.1
761,81.8
762,88.3
763,86.5
764,89.8
765,82.700005
766,89.9
767,89.9
768,86.1
769,87.5
770,89.700005
771,84.2
772,91.0
773,86.7
774,87.9
775,90.0
776,91.399994
777,88.3
778,86.5
779,88.1
780,88.8
781,89.5
782,89.600006
783,87.9
784,84.3
785,88.8
786,89.4
787,89.1
788,89.600006
789,88.6
790,89.8
791,85.7
792,88.4
793,85.0
794,90.200005
795,88.200005
796,92.0
797,90.5
798,89.600006
799,86.4
800,84.799995
801,92.7
802,89.3
803,91.0
804,89.4
805,87.5
806,89.200005
807,89.1
808,90.200005
809,90.3
810,90.6
811,89.0
812,90.3
813,87.8
814,89.600006
815,88.9
816,88.700005
817,89.9
818,88.9
819,90.100006
820,90.100006
821,91.0
822,90.200005
823,87.8
824,86.1
825,85.7
826,89.9
827,89.9
828,90.5
829,92.2
830,90.6
831,90.8
832,90.0
833,91.7
834,90.0
835,88.9
836,88.3
837,89.1
838,92.299995
839,88.5
840,88.5
841,89.1
842,86.5
843,88.3
844,88.3
845,88.5
846,87.3
847,90.7
848,91.0
849,90.3
850,87.5
851,90.8
852,89.1
853,90.3
854,89.0
855,89.600006
856,89.5
857,89.9
858,89.4
859,86.799995
860,85.0
861,91.299995
862,88.4
863,84.7
864,89.1
865,89.4
866,91.9
867,89.9
868,89.0
869,88.5
870,89.9
871,88.4
872,89.1
873,87.6
874,92.0
875,89.600006
876,91.2
877,90.5
878,89.200005
879,91.2
880,88.3
881,86.9
882,91.299995
883,90.200005
884,89.0
885,88.200005
886,87.3
887,92.5
888,88.9
889,90.3
890,88.9
891,90.0
892,86.2
893,92.299995
894,88.1
